0;Pão de Batata;24;10-01-2024;3;1
1;Ciabatta;10;08-01-2024;3;2
2;Ciabatta Unique;30;08-01-2024;3;2
3;Pão Curcuma;14;08-01-2024;30;4
4;Baguete;21;09-01-2024;30;4
5;Palmier;21;09-01-2024;4;1
6;Sancrista;16;09-01-2024;4;1
7;Broa mimosa;24;09-01-2024;2;2
8;Sorvete de chocolate;1300;10-01-2024;90;1
9;Muffin chocolate;13;10-01-2024;7;1
10;Cookie tradicional;64;10-01-2024;90;3
11;Sorvete de baunilha;1150;10-01-2024;90;1
12;Bolo cenoura tábua;22;10-01-2024;90;1
13;Madeleine;60;10-01-2024;15;1
14;Tartelete de limão;10;10-01-2024;10;1
15;Tartelete de limão;10;10-01-2024;10;1
16;Macarrons Chocolate;8;10-01-2024;5;0,5
17;Macarrons Pistache;8;10-01-2024;5;1
18;Macarrons Frutas Vermelhas;8;10-01-2024;5;1
19;Baguete;22;10-01-2024;3;4
20;Pão Multi Grãos;15;09-01-2024;30;4
21;Pão Italiano;14;09-01-2024;30;4
22;Ciabatta;28;10-01-2024;3;1,5
24;Croissant Red Velvet;28;10-01-2024;20;1
25;Croissant Pistache;56;10-01-2024;20;2
26;Pão de Batata;26;10-01-2024;3;1
27;Sancrista;16;10-01-2024;3;1
28;Tortano;7;09-01-2024;30;1
29;Australiano Lanche;20;09-01-2024;3;1
30;Massa Bolo de chocolate (do dia);2;11-01-2024;7;1
31;Cheesecake tradicional;14;11-01-2024;10;1
32;Baguetinha integral ;24;11-01-2024;30;2
33;Broa mimosa;20;11-01-2024;2;1
34;Demi;19;11-01-2024;2;2
35;Recheio eclair pistache;1010;11-01-2024;10;2
36;Recheio croissant pistache;2550;11-01-2024;10;4
37;Pão Francês ;55;11-01-2024;1;2,5
38;Brioche lanche;25;11-01-2024;3;1
39;Cheesecake de pistache;14;11-01-2024;10;1
40;Cocada Cremosa;32;11-01-2024;7;1
41;Cookie tradicional;63;11-01-2024;90;3
42;Bolo de cenoura (do dia);2;11-01-2024;7;1
43;Brownie;32;11-01-2024;30;2
44;Massa bolo chocolate (fatia );1;12-01-2024;7;0,5
45;Massa mini cake chocolate;3;12-01-2024;7;0,5
46;Pão Francês ;60;12-01-2024;1;1
47;Massa eclair ;38;12-01-2024;10;1
48;Macarrons Chocolate;9;12-01-2024;5;0,5
49;Macarrons Frutas Vermelhas;7;12-01-2024;5;0,5
50;Macarrons mirtilo;5;12-01-2024;5;0,5
51;Muffin de Mirtilo;7;12-01-2024;5;1
52;Creme patissier croissant chocolate;1120;12-01-2024;7;1
53;Creme patisserie  chocolate eclair;1050;12-01-2024;7;1
55;Mousse de caramelo salgado ;1140;12-01-2024;20;1
56;Mousse de Ninho;1335;12-01-2024;20;1
57;Tartelete Doce de Leite;6;12-01-2024;10;0,5
59;Sancrista;16;13-01-2024;3;1
60;Broa mimosa;21;13-01-2024;2;2
